time,vid,cluster_head,distance_to_ch
16,0,7,171.81000000000006
16,1,NONE,360.06421996638323
16,2,NONE,532.9114481787758
16,3,NONE,357.82672133310564
16,4,4,0.0
16,5,5,0.0
16,6,5,200.70519699300266
16,7,7,0.0
16,8,8,0.0
17,0,7,173.39999999999998
17,1,NONE,373.9136932501937
17,2,NONE,542.4434319816215
17,3,NONE,367.6773842650647
17,4,4,0.0
17,5,5,0.0
17,6,5,200.87511767264755
17,7,7,0.0
17,8,8,0.0
18,0,7,171.54485360977762
18,1,NONE,390.5931084901525
18,2,NONE,554.0146591020856
18,3,NONE,377.66343879173695
18,4,4,0.0
18,5,5,0.0
18,6,5,200.89669385034688
18,7,7,0.0
18,8,8,0.0
18,9,NONE,731.7165322718902
19,0,7,162.561329965032
19,1,NONE,407.3025707014382
19,2,NONE,567.6217586562376
19,3,NONE,386.30631265875013
19,4,4,0.0
19,5,5,0.0
19,6,5,200.81285441923282
19,7,7,0.0
19,8,8,0.0
19,9,NONE,736.1986308055729
20,0,7,151.76249404908972
20,1,NONE,421.45214864798123
20,2,NONE,580.1301510006182
20,3,NONE,395.1902764492062
20,4,4,0.0
20,5,5,0.0
20,6,5,200.55648805261822
20,7,7,0.0
20,8,8,0.0
20,9,NONE,740.8296927094649
21,0,0,0.0
21,1,NONE,430.43855833324227
21,10,10,0.0
21,2,10,210.90854060468965
21,3,NONE,353.72
21,4,7,115.29999999999995
21,5,8,62.78
21,6,8,206.2820166665044
21,7,7,0.0
21,8,8,0.0
21,9,9,0.0
22,0,7,133.99609434606668
22,1,1,0.0
22,10,10,0.0
22,11,11,0.0
22,2,10,208.04926051298526
22,3,NONE,410.36509330107504
22,4,7,113.13999999999999
22,5,NONE,482.5712558783418
22,6,NONE,538.2035218205099
22,7,7,0.0
22,8,NONE,446.87068073437086
22,9,9,0.0
23,0,7,128.22897683441133
23,1,1,0.0
23,10,10,0.0
23,11,11,0.0
23,2,10,210.00377258516093
23,3,NONE,412.26667898339787
23,4,7,111.44000000000005
23,5,NONE,492.09447162104965
23,6,NONE,547.4414671907856
23,7,7,0.0
23,8,NONE,456.1700000000001
23,9,9,0.0
24,0,7,124.77471057870659
24,1,1,0.0
24,10,10,0.0
24,11,11,0.0
24,12,NONE,309.934209309008
24,2,10,216.56648886658346
24,3,NONE,414.47184862183343
24,4,7,112.35000000000002
24,5,5,0.0
24,6,5,200.03590702671357
24,7,7,0.0
24,8,5,59.21000000000001
24,9,10,22.110000000000014
25,0,NONE,603.843042188945
25,1,1,0.0
25,10,10,0.0
25,11,11,0.0
25,12,NONE,317.9026800767807
25,2,10,225.72597989597915
25,3,NONE,458.90958107235025
25,4,NONE,395.5232024799556
25,5,5,0.0
25,6,5,200.00429020398536
25,7,NONE,512.1154210722423
25,8,5,58.27
25,9,9,0.0
26,0,NONE,605.469121343112
26,1,1,0.0
26,10,10,0.0
26,11,11,0.0
26,12,NONE,328.6539435333159
26,13,NONE,252.18613383768746
26,2,10,236.75007856387293
26,3,NONE,459.0665176202682
26,4,NONE,397.6598351606559
26,5,5,0.0
26,6,5,200.0108157075512
26,7,NONE,522.569474806939
26,8,5,56.99
26,9,9,0.0
27,0,4,233.7404308201729
27,1,NONE,403.4646376078083
27,10,10,0.0
27,11,NONE,342.7254296080173
27,12,NONE,342.72882575003814
27,13,NONE,363.3341141428919
27,2,NONE,250.9001753686115
27,3,NONE,436.75519745047114
27,4,4,0.0
27,5,5,0.0
27,6,5,200.05129567188513
27,7,4,138.13150437173994
27,8,8,0.0
27,9,9,0.0
28,0,14,120.1585307000714
